"noteId","overallSentiment","Mixed","Neutral","Constructive","Appreciative","Negative","Suggestive","Criticism","overallSummary"
"1","Mixed","40","0","10","30","20","30","10","The feedback highlights the product's impressive design and core features, while also mentioning performance issues during peak usage, slow customer support response times, and a need for more customization options."
"2","Mixed","50","0","0","0","50","0","0","The service was satisfactory but could be faster."
"3","Negative","0","0","0","0","100","0","100","The product received negative feedback for not meeting expectations."
"4","Appreciative","0","0","0","100","0","0","0","The customer is satisfied with the great quality of the product."
"5","Mixed","100","0","0","0","50","50","0","The product quality was satisfactory, but there were concerns about the packaging."
"6","Appreciative","0","0","0","100","0","0","0","The user is impressed with the product and intends to recommend it to others."
"7","Mixed","100","0","0","50","50","0","50","The delivery was quick, but the product did not meet expectations."
"8","Appreciative","0","0","0","100","0","0","0","The customer appreciates the excellent customer service and helpful staff."
"9","Negative","","","","","100","","100","The product did not match the description, leading to disappointment."
"10","Appreciative","0","0","0","100","0","0","0","The customer is happy with their purchase, which exceeded their expectations."
"11","Negative","0","0","0","0","100","0","100","The customer received a damaged item and expressed dissatisfaction."
"12","Appreciative","0","0","0","100","0","0","0","The customer had a great experience and plans to shop again."
"13","Mixed","100","0","0","0","50","50","0","The product received mixed feedback, with users acknowledging its functionality but expressing concerns about its price."
"14","Negative","0","0","0","0","100","0","0","The quality of the product is perceived as not meeting the expectations for the price."
"15","Mixed","50","0","0","50","0","0","0","The product received mixed feedback, with fast shipping being appreciated but the product itself being average."
"16","Appreciative","0","0","0","100","0","0","0","The user expressed satisfaction with the product."
"17","Negative","0","0","0","50","50","0","50","The packaging of the product received negative feedback, while the product itself was considered good."
"18","Mixed","100","0","0","0","50","0","50","The service was friendly but slow."
"19","Appreciative","0","0","0","100","0","0","0","The customer is satisfied with their purchase and would consider buying again."
"20","Negative","","","","","100","","100","The product's durability is questionable, as it broke within a week of use."
"21","Appreciative","0","0","0","100","0","0","0","The feedback is positive, highlighting the fantastic quality and excellent service."
"22","Negative","0","0","0","0","100","0","0","The feedback expresses disappointment and mentions the product not being worth the money."
"23","Appreciative","0","0","0","100","0","0","0","The customers are satisfied with the service and product quality."
"24","Appreciative","0","0","0","100","0","0","0","The product received positive feedback, exceeding user expectations."
"25","Negative","","","","","100","","100","The product was received with defects."
"26","Appreciative","0","0","0","100","0","0","0","The user is satisfied with the prompt delivery and quality."
"27","Mixed","100","0","0","0","50","50","0","The product received mixed feedback, with users acknowledging its functionality but expressing concerns about the design."
"28","Appreciative","0","0","0","100","0","0","0","The feedback is positive, expressing love for the product and acknowledging its great value for money."
"29","Negative","","","","","100","","100","Customers express dissatisfaction with the customer support."
"30","Negative","","","","","100","","100","The product quality was criticized, and it was not recommended."
"31","Appreciative","0","0","0","100","0","0","0","The customer is satisfied with the product, having received exactly what was advertised."
"32","Mixed","100","0","0","0","0","0","0","The product received mixed feedback, with users acknowledging its decent quality but also expressing the need for improvement."
"33","Appreciative","0","0","0","100","0","0","0","The customer expressed satisfaction with the service and product."
"34","Negative","","","","","100","","100","The delivery was slow, causing disappointment."
"35","Appreciative","0","0","0","100","0","0","0","The product quality is highly appreciated."
"36","Negative","0","0","0","0","100","0","100","Multiple users expressed dissatisfaction with the product, stating it did not meet their expectations and they would not recommend it."
"37","Mixed","100","0","0","0","50","50","0","The product is generally good, but the price is a bit high."
"38","Appreciative","0","0","0","100","0","0","0","The customer had a positive experience and plans to shop again."
"39","Appreciative","0","0","0","100","0","0","0","The user is happy with the product meeting their expectations."
"40","Mixed","100","0","0","50","50","0","0","The delivery of the product was delayed, but the customer found it worth the wait."
"41","Appreciative","0","0","0","100","0","0","0","The customer appreciates the great quality and fast delivery of the product."
"42","Mixed","100","0","0","0","0","0","0","The product received mixed feedback, with users finding it satisfactory but not exceeding their expectations."
"43","Appreciative","0","0","0","100","0","0","0","The service was excellent, and the product quality is good."
"44","Negative","0","0","0","0","100","0","100","The item did not meet the user's expectations."
"45","Mixed","50","0","0","0","50","0","50","The product received positive feedback, but the packaging was criticized."
"46","Appreciative","0","0","0","100","0","0","0","The customer is impressed with the customer service."
"47","Negative","","","","","100","","100","The product broke after a few uses, leading to disappointment."
"48","Appreciative","0","0","0","100","0","0","0","The customer is pleased with the quality of their purchase."
"49","Negative","0","0","0","0","100","0","0","The feedback expresses dissatisfaction with the product's price and quality."
"50","Mixed","100","0","0","0","50","0","50","The product received mixed feedback, with users acknowledging its decent quality but expressing concerns about shipping delays."
"51","Appreciative","0","0","0","100","0","0","0","The customer appreciates the excellent product and fast service."
"52","Mixed","100","0","0","0","50","50","0","The user is satisfied with the quality but finds the product a bit overpriced."
"53","Appreciative","0","0","0","100","0","0","0","The item met expectations, resulting in a positive purchase experience."
"54","Mixed","50","0","0","0","50","0","50","The product received positive feedback, but the service was criticized for being slow."
"55","Negative","0","0","0","0","100","0","100","The customer is disappointed and would not make a repeat purchase."
"56","Appreciative","0","0","0","100","0","0","0","The user had a great experience and appreciated the top-notch product."
"57","Appreciative","0","0","0","100","0","0","0","The product arrived on time and functions well."
"58","Neutral","0","50","0","0","50","0","0","The quality of the product is considered acceptable, but there is room for improvement."
"59","Appreciative","0","0","0","100","0","0","0","The feedback is positive, with the user expressing satisfaction with the service and the product."
"60","Negative","","","","","100","","100","Users express dissatisfaction with the product's build quality."
"61","Appreciative","0","0","0","100","0","0","0","The feedback is appreciative of the good quality and quick delivery of the product."
"62","Negative","","50","","","50","","","The packaging of the product was poor, but the product itself was acceptable."
"63","Appreciative","0","0","0","100","0","0","0","The feedback is positive and appreciative, with the user expressing satisfaction and recommending the service."
"64","Appreciative","0","0","0","100","0","0","0","The customer is happy with the item's condition."
"65","Negative","0","0","0","0","100","0","100","The feedback expresses disappointment with the service."
"66","Appreciative","0","0","0","100","0","0","0","The user expressed satisfaction with the product and plans to make a repeat purchase."
"67","Mixed","50","0","0","0","50","0","0","The product received mixed feedback, with an average rating, but the service was praised."
"68","Appreciative","0","0","0","100","0","0","0","Customers appreciate the helpfulness of the customer support."
"69","Appreciative","0","0","0","100","0","0","0","The feedback is positive, with users expressing satisfaction with the product quality."
"70","Negative","","","","","100","","100","A customer received a faulty product and had to return it."
"71","Appreciative","0","0","0","100","0","0","0","The customer is satisfied with the item as described."
"72","Mixed","100","0","0","0","50","0","50","The delivery of the product was slow, but the product was considered worth the wait."
"73","Mixed","50","0","0","0","50","0","50","The product received positive feedback, but the packaging was damaged."
"74","Appreciative","0","0","0","100","0","0","0","The service was friendly and efficient."
"75","Negative","0","0","0","0","100","0","0","The quality of the product or service did not meet the expectations of the customers, leading to disappointment."
"76","Appreciative","0","0","0","100","0","0","0","The product met the user's expectations, leading to a positive experience."
"77","Appreciative","0","0","0","100","0","0","0","The user expressed satisfaction with the service and recommended it to others."
"78","Mixed","50","0","0","0","50","0","0","The product received mixed feedback, with users finding it satisfactory but expressing concerns about delivery delays."
"79","Appreciative","0","0","0","100","0","0","0","The feedback is positive, with users expressing satisfaction with their experience and the quality of the product."
"80","Negative","0","0","0","0","100","0","0","The product did not meet users' expectations."
"81","Appreciative",0,0,0,100,0,0,0,"The user is satisfied with the product and service."
"82","Appreciative",0,0,0,100,0,0,0,"The item was delivered on time and works great."
"83","Negative",0,0,0,0,100,0,100,"The feedback expresses disappointment with the quality of a product in relation to its price."
"84","Appreciative",0,0,0,100,0,0,0,"The service was excellent and very responsive."
"85","Neutral",0,100,0,0,0,0,0,"The product was considered average, with no significant positive or negative aspects."
"86","Appreciative",0,0,0,100,0,0,0,"The customer is satisfied with the product and would consider purchasing it again."
"87","Negative",0,0,0,0,100,0,100,"The delivery time is causing dissatisfaction among users."
"88","Appreciative",0,0,0,100,0,0,0,"The product received positive feedback for its high quality."
"89","Negative",,,,,100,,100,"The product did not meet customer expectations, leading to disappointment."
"90","Appreciative",0,0,0,100,0,0,0,"The feedback is positive, highlighting great service and amazing product quality."
"91","Mixed",100,0,0,0,0,0,0,"The quality of the product or service was acceptable, but there is room for improvement."
"92","Appreciative",0,0,0,100,0,0,0,"The customer is happy with their purchase and intends to recommend it."
"93","Negative",,,,,100,,100,"The user is not satisfied with the item's durability as it broke after a few uses."
"94","Appreciative",0,0,0,100,0,0,0,"The user is satisfied with the product and appreciated the fast delivery."
"95","Mixed",100,0,0,0,50,50,0,"The product quality is generally good, but the price is considered high."
"96","Appreciative",0,0,0,100,0,0,0,"The customer appreciated the fast service and good quality."
"97","Neutral",,100,,,,,,"The product is considered average, lacking any remarkable features."
"98","Appreciative",0,0,0,100,0,0,0,"The product received positive feedback for meeting the user's needs."
"99","Negative",0,0,0,0,100,0,0,"The quality of the product is not impressive."
"100","Appreciative",0,0,0,100,0,0,0,"The user is happy with the product and considers it a great purchase."